city,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
austin,Single Family,30.19764709472656,-97.81681060791016,2,False,1981,0,9757.0,4.0,13,,3,350000-450000
austin,Single Family,30.32918739318848,-97.7527313232422,2,False,1951,0,10846.0,7.0,16,,4,650000+
austin,Single Family,30.31330490112305,-97.69966888427734,0,False,1954,0,9016.0,5.0,15,,3,350000-450000
austin,Single Family,30.15632057189941,-97.748291015625,2,False,2008,0,5662.0,5.333333333333333,15,,3,0-250000
austin,Townhouse,30.36699485778809,-97.75354766845705,2,False,1984,0,3049.0,7.0,16,,2,350000-450000
austin,Single Family,30.3416805267334,-97.9033203125,4,False,2012,3,13939.2,8.333333333333334,17,,4,650000+
austin,Single Family,30.14313125610352,-97.96349334716795,0,False,1985,0,225205.2,7.0,16,,3,0-250000
austin,Single Family,30.19129180908203,-97.818603515625,2,False,2005,0,6316.0,4.0,13,,3,250000-350000
austin,Single Family,30.306997299194336,-97.76889038085938,0,False,1964,0,16117.2,7.0,16,,4,650000+
austin,Single Family,30.210824966430664,-97.78286743164062,2,False,1970,3,12632.4,4.0,14,,3,450000-650000
austin,Single Family,30.288116455078125,-97.7220230102539,2,False,1947,0,6446.0,6.666666666666668,15,,2,250000-350000
austin,Single Family,30.33369445800781,-97.73590087890624,1,False,1948,0,8581.0,7.0,16,1.0,3,250000-350000
austin,Single Family,30.32999610900879,-97.76404571533205,0,False,1951,0,20473.2,7.0,16,3.0,4,450000-650000
austin,Single Family,30.19338417053223,-97.79839324951172,5,False,1983,0,68389.2,3.333333333333333,14,3.0,5,650000+
austin,Single Family,30.381629943847656,-97.79100036621094,0,False,2001,2,8276.0,7.0,17,3.0,4,450000-650000
austin,Single Family,30.20905876159668,-97.80111694335938,1,False,1966,2,7274.0,4.0,13,2.0,3,250000-350000
austin,Single Family,30.37181282043457,-97.66291046142578,2,False,2003,0,10890.0,4.333333333333333,12,4.0,4,250000-350000
austin,Townhouse,30.348054885864247,-97.75301361083984,2,False,1972,0,1655.0,7.0,16,3.0,3,250000-350000
austin,Single Family,30.36540985107422,-97.7676010131836,2,False,2014,1,10062.0,7.0,16,4.0,4,650000+
austin,Single Family,30.16839599609375,-97.81848907470705,2,False,2014,0,4617.0,3.333333333333333,14,3.0,4,250000-350000
austin,Single Family,30.23526954650879,-97.88263702392578,2,False,1972,1,13503.6,6.666666666666668,17,2.0,4,250000-350000
austin,Single Family,30.30965232849121,-97.72093963623048,0,False,1948,0,9191.0,6.333333333333332,16,1.0,3,450000-650000
austin,Single Family,30.494611740112305,-97.77133178710938,2,False,1999,2,9191.0,8.0,16,3.0,4,350000-450000
austin,Single Family,30.34355545043945,-97.72447967529295,0,False,1950,0,6751.0,7.0,16,2.0,3,650000+
austin,Single Family,30.18391227722168,-97.81085205078124,2,False,1995,1,8276.0,3.333333333333333,14,3.0,3,350000-450000
austin,Single Family,30.347206115722656,-97.77335357666016,0,False,2001,0,15681.6,7.0,16,3.0,3,650000+
austin,Single Family,30.20857048034668,-97.8742218017578,0,False,1999,2,6926.0,9.0,18,3.0,4,350000-450000
austin,Single Family,30.15055656433105,-97.80651092529295,0,False,2001,1,10454.0,3.6666666666666665,15,2.0,3,350000-450000
austin,Single Family,30.444395065307607,-97.67279815673828,2,False,1998,1,9016.0,2.6666666666666665,14,3.0,3,250000-350000
austin,Single Family,30.209903717041016,-97.88516998291016,2,False,1999,1,6638.0,9.0,18,2.0,3,250000-350000
austin,Single Family,30.341930389404297,-97.85636901855467,0,False,2006,0,70567.20000000001,8.0,14,4.0,4,650000+
austin,Condo,30.27464866638184,-97.67868041992188,2,False,2018,1,3532.0,3.6666666666666665,14,3.0,3,350000-450000
austin,Single Family,30.19993019104004,-97.7292709350586,0,False,2006,1,5880.0,4.333333333333333,14,3.0,3,250000-350000
austin,Single Family,30.360803604125977,-97.67581176757812,2,False,1972,1,6882.0,5.0,15,2.0,3,250000-350000
austin,Single Family,30.38153839111328,-97.85302734375,2,False,1992,2,9583.0,7.0,16,3.0,4,450000-650000
austin,Single Family,30.31479835510254,-97.69342803955078,2,False,1956,1,9975.0,3.0,14,2.0,3,450000-650000
austin,Single Family,30.41934967041016,-97.7148666381836,2,False,1981,2,7492.0,6.666666666666668,15,2.0,3,350000-450000
austin,Mobile / Manufactured,30.275888442993164,-97.67642211914062,0,False,2001,0,45302.4,3.6666666666666665,14,2.0,3,450000-650000
austin,Single Family,30.37063217163086,-97.77420043945312,2,False,1975,1,17859.6,7.0,16,3.0,4,450000-650000
austin,Single Family,30.40542411804199,-97.64598846435548,2,False,1987,2,7405.0,3.0,14,2.0,3,250000-350000
austin,Single Family,30.2465877532959,-97.83641815185548,2,False,1996,0,8842.0,5.666666666666668,16,3.0,4,450000-650000
austin,Single Family,30.41033363342285,-97.7650146484375,0,False,1985,0,11761.2,7.0,17,3.0,4,450000-650000
austin,Single Family,30.38313865661621,-97.6588363647461,2,False,1983,2,6185.0,3.6666666666666665,13,1.0,3,0-250000
austin,Single Family,30.20629692077637,-97.8740463256836,0,False,2000,0,6882.0,9.0,18,3.0,3,350000-450000
austin,Single Family,30.29311180114746,-97.72679138183594,0,False,1932,3,9931.0,7.333333333333332,15,3.0,4,650000+
austin,Single Family,30.234827041625977,-97.7695770263672,2,False,2020,1,7579.0,3.6666666666666665,12,5.0,4,650000+
austin,Single Family,30.31466484069824,-97.672119140625,1,False,1964,0,8799.0,3.333333333333333,13,2.0,3,450000-650000
austin,Single Family,30.18975257873535,-97.92263793945312,2,False,2008,2,6795.0,8.0,18,3.0,4,450000-650000
austin,Single Family,30.19707489013672,-97.8098373413086,0,False,1980,0,8276.0,4.0,13,3.0,3,250000-350000
austin,Single Family,30.178409576416016,-97.69412231445312,4,True,2017,3,6621.0,3.6666666666666665,12,3.0,4,350000-450000
austin,Single Family,30.488445281982425,-97.78965759277344,0,False,2014,0,6185.0,7.666666666666668,14,4.0,4,450000-650000
austin,Single Family,30.15174865722656,-97.74639892578124,2,False,2010,1,6229.0,5.333333333333333,15,3.0,5,250000-350000
austin,Single Family,30.151084899902344,-97.78466033935548,0,False,2005,0,5706.0,5.333333333333333,15,2.0,3,250000-350000
austin,Single Family,30.37476348876953,-97.666259765625,0,False,1975,0,14810.4,5.0,15,2.0,3,350000-450000
austin,Single Family,30.15948486328125,-97.83284759521484,0,False,1999,0,11325.6,3.6666666666666665,15,3.0,3,250000-350000
austin,Single Family,30.170473098754893,-97.8107452392578,0,False,2017,0,6098.0,3.333333333333333,14,3.0,3,250000-350000
austin,Single Family,30.18888282775879,-97.81690216064452,0,False,2004,0,7710.0,4.0,13,3.0,3,250000-350000
austin,Single Family,30.20174217224121,-97.9959945678711,0,False,2005,0,52707.6,6.666666666666668,16,4.0,4,650000+
austin,Single Family,30.186664581298828,-97.90181732177734,0,False,2003,0,9583.0,8.666666666666666,18,4.0,4,350000-450000
austin,Single Family,30.29777336120605,-97.71241760253906,2,False,1955,4,15245.999999999998,6.666666666666668,15,2.0,3,650000+
austin,Single Family,30.15357208251953,-97.7873764038086,2,False,2006,2,7797.0,5.333333333333333,15,2.0,3,250000-350000
